,flowS1-curr,prcpS1-1day,prcpS2-1day,prcpS3-1day,flowS1-1day,flowS2-1day,prcpS1-2day,prcpS2-2day,prcpS3-2day,flowS1-2day,flowS2-2day,prcpS1-3day,prcpS2-3day,prcpS3-3day,flowS1-3day,flowS2-3day
0,medium,large,large,large,large,medium,large,large,large,large,large,large,large,large,medium,large
1,medium,small,medium,large,medium,medium,large,large,large,large,medium,large,large,large,large,large
2,medium,small,small,small,medium,medium,small,medium,large,medium,medium,large,large,large,large,medium
3,medium,small,small,small,medium,medium,small,small,small,medium,medium,small,medium,large,medium,medium
4,medium,large,large,large,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
5,medium,large,medium,medium,medium,medium,large,large,large,medium,medium,small,small,small,medium,medium
6,medium,small,small,medium,medium,medium,large,medium,medium,medium,medium,large,large,large,medium,medium
7,medium,small,small,small,medium,medium,small,small,medium,medium,medium,large,medium,medium,medium,medium
8,medium,small,medium,medium,medium,medium,small,small,small,medium,medium,small,small,medium,medium,medium
9,medium,small,small,small,medium,medium,small,medium,medium,medium,medium,small,small,small,medium,medium
10,medium,small,small,small,medium,medium,small,small,small,medium,medium,small,medium,medium,medium,medium
11,medium,small,small,small,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
12,medium,small,small,small,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
13,medium,small,small,small,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
14,medium,small,small,small,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
15,medium,small,small,small,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
16,medium,small,small,small,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
17,medium,large,small,small,medium,medium,small,small,small,medium,medium,small,small,small,medium,medium
18,medium,small,medium,medium,medium,medium,large,small,small,medium,medium,small,small,small,medium,medium
19,medium,small,medium,small,medium,medium,small,medium,medium,medium,medium,large,small,small,medium,medium
20,medium,large,medium,large,medium,medium,small,medium,small,medium,medium,small,medium,medium,medium,medium
21,medium,large,large,large,medium,large,large,medium,large,medium,medium,small,medium,small,medium,medium
22,medium,small,small,small,medium,large,large,large,large,medium,large,large,medium,large,medium,medium
